"Country","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent"
"Singapore",53400,56490,-3090,-1,0.81,0.935,5.281e+11,"17","22","7"
"Sint Maarten",NA,NA,NA,NA,NA,NA,365800000,NA,NA,NA
"Slovakia",37090,38520,-1430,-1.5,0.804,0.857,1.797e+11,"22","25","20"
"Slovenia",20200,20970,-770,-1.6,0.858,0.902,7.123e+10,"19","50","22"
"Solomon Islands",435,472,-37,-2.9,NA,NA,1.33e+09,NA,NA,NA
"Somalia",260.1,260.1,0,NA,NA,NA,2.044e+10,NA,NA,NA
"South Africa",92380,103300,-10920,-3.2,0.463,0.705,7.672e+11,"28","45","15"
"South Korea",351600,338000,13600,0.6,0.777,0.906,2.035e+12,"24.2","42","10"
"South Sudan",437,2259,-1822,-62.5,0.264,0.413,2.001e+10,NA,NA,NA
"Spain",492400,535900,-43500,-3.3,0.765,0.893,1.778e+12,"25","52","21"
"Sri Lanka",12640,16660,-4020,-4.8,0.686,0.78,2.758e+11,"30","15","12"
"Sudan",8198,13400,-5202,-4.4,0.332,0.507,1.774e+11,NA,NA,NA
"Suriname",546,806,-260,-7.1,0.559,0.724,8.688e+09,"36","38",NA
"Svalbard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland",1150,1475,-325,-8.1,NA,NA,NA,NA,NA,NA
"Sweden",274800,269900,4900,0.9,0.874,0.937,5.18e+11,"21.4","57","25"
"Switzerland",223500,222100,1400,0.2,0.881,0.946,5.231e+11,"17.92","11.5","7.7"
"Syria",1033,3177,-2144,-8.7,NA,NA,5.028e+10,"22","15",NA
"Taiwan",93000,91670,1330,0.2,NA,NA,1.189e+12,"20","40","5"
"Tajikistan",2214,2316,-102,-1.4,0.574,0.656,2.843e+10,"13","13","18"
"Tanzania",7872,9271,-1399,-2.7,0.397,0.528,1.625e+11,"30","30","18"
"Thailand",88000,107000,-19000,-8,0.635,0.765,1.236e+12,"20","35","7"
"Timor-Leste",300,2200,-1900,-70,0.45,0.626,7.426e+09,NA,NA,NA
"Togo",1469,1700,-231,-4.8,0.35,0.513,1.297e+10,NA,NA,NA
"Tokelau",1,3,-2,NA,NA,NA,1500000,NA,NA,NA
"Tonga",133,133,0,NA,NA,NA,5.91e+08,NA,NA,NA
"Trinidad and Tobago",6916,7838,-922,-4.5,NA,NA,4.285e+10,"25","25","12.5"
"Tunisia",9397,11610,-2213,-5.6,0.585,0.739,1.377e+11,"30","35","18"
"Turkey",173900,190400,-16500,-2,0.676,0.806,2.186e+12,"22","40","18"
"Turkmenistan",4436,4703,-267,-0.6,0.578,0.71,1.037e+11,NA,NA,NA
"Turks and Caicos Islands",226,187,38,NA,NA,NA,6.32e+08,NA,NA,NA
"Tuvalu",43,32,10,NA,NA,NA,4.2e+07,NA,NA,NA
"U.S. Virgin Islands",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA
"Uganda",4019,5268,-1249,-4.7,0.387,0.528,8.919e+10,"30",NA,"18"
"Ukraine",35600,38910,-3310,-3.2,0.701,0.75,3.696e+11,"18","18","20"
"United Arab Emirates",83440,112400,-28960,-7.6,NA,NA,6.96e+11,"0","0","5"
"United Kingdom",1077300,1120000,-43000,-1.1,0.845,0.92,2.925e+12,"19","47","20"
"United States",6715033,7547180,-832147,-3.9,0.797,0.92,1.949e+13,"21","51.8","11.725"
"Uruguay",17690,19900,-2210,-3.7,0.703,0.808,7.816e+10,"25","30","22"
"US Virgin Islands",1223,1551,-328,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",20110,19920,190,0.3,NA,NA,2.23e+11,"12","12","20"
"Vanuatu",204,207,-3,-0.5,NA,NA,7.72e+08,NA,NA,NA
"Vatican City",315,348,-33,NA,NA,NA,NA,NA,NA,NA
"Venezuela",77890,160000,-82110,-38.1,0.6,0.726,3.816e+11,"34","34","16"
"Vietnam",54590,69370,-14780,-6.7,0.58,0.693,6.487e+11,"20","35","10"
"Virgin Islands",NA,NA,NA,NA,NA,NA,3.872e+09,NA,NA,NA
"Wallis and Futuna",NA,NA,NA,NA,NA,NA,6e+07,NA,NA,NA
"West Bank",NA,NA,NA,NA,NA,NA,2.122e+10,NA,NA,NA
"Western Sahara",NA,NA,NA,NA,NA,NA,906500000,NA,NA,NA
"Yemen",3467,5232,-1765,-6.9,0.316,0.463,7.363e+10,"20","15","2"
"Zambia",4895,7050,-2155,-8.4,0.394,0.591,6.893e+10,"35","30","16"
"Zimbabwe",3600,4800,-1200,-7,0.435,0.563,3.427e+10,"25","45","15"
